Dataset,Metric,우리 모델,CBraMod,CSBrain,REVE,우리 모델_seed42,우리 모델_seed696,우리 모델_seed1001,우리 모델_seed1234,우리 모델_seed3407,우리 모델_mean,우리 모델_sd,우리 모델_n,우리 모델_rank,CBraMod_mean,CBraMod_sd,CBraMod_n,CBraMod_rank,CSBrain_mean,CSBrain_sd,CSBrain_n,CSBrain_rank,REVE_mean,REVE_sd,REVE_n,REVE_rank
BCIC-IV-2a,balanced_accuracy,0.5306 ± 0.0564,0.5138 ± 0.0066,<u>0.5657 ± 0.0071</u>,**0.6396 ± 0.0095**,0.576388889,0.510416667,0.6015625,0.439236111,0.525173611,0.530555556,0.056420673,5,3,0.5138,0.0066,,4,0.5657,0.0071,,2,0.6396,0.0095,,1
BCIC-IV-2a,weighted_f1,0.5065 ± 0.0673,0.4984 ± 0.0085,<u>0.5637 ± 0.0087</u>,**0.6339 ± 0.0110**,0.560392015,0.482263571,0.591333791,0.397298142,0.501271086,0.506511721,0.067291771,5,3,0.4984,0.0085,,4,0.5637,0.0087,,2,0.6339,0.011,,1
BCIC-IV-2a,kappa,0.3741 ± 0.0752,0.3518 ± 0.0094,<u>0.4209 ± 0.0093</u>,**0.5194 ± 0.0126**,0.435185185,0.347222222,0.46875,0.252314815,0.366898148,0.374074074,0.075227564,5,3,0.3518,0.0094,,4,0.4209,0.0093,,2,0.5194,0.0126,,1
CHB-MIT,balanced_accuracy,**0.8261 ± 0.0236**,<u>0.7398 ± 0.0284</u>,0.7262 ± 0.0115,—,0.783798069,0.842611905,0.844787416,0.842909667,0.816626395,0.826146691,0.023594996,5,1,0.7398,0.0284,,2,0.7262,0.0115,,3,,,,
CHB-MIT,auroc,**0.9140 ± 0.0127**,0.8892 ± 0.0154,<u>0.8915 ± 0.0321</u>,—,0.918949505,0.930676655,0.903779695,0.921271522,0.895291474,0.91399377,0.012727504,5,1,0.8892,0.0154,,3,0.8915,0.0321,,2,,,,
CHB-MIT,auprc,<u>0.3723 ± 0.0673</u>,0.3689 ± 0.0382,**0.5164 ± 0.0449**,—,0.353606528,0.442653875,0.339859912,0.452245995,0.272888285,0.372250919,0.067268881,5,2,0.3689,0.0382,,3,0.5164,0.0449,,1,,,,
FACED,balanced_accuracy,**0.5926 ± 0.0045**,0.5509 ± 0.0089,<u>0.5752 ± 0.0042</u>,0.5646 ± 0.0164,0.592860977,0.587761675,0.597155126,0.587224906,0.597826087,0.592565754,0.004481616,5,1,0.5509,0.0089,,4,0.5752,0.0042,,2,0.5646,0.0164,,3
FACED,weighted_f1,**0.5972 ± 0.0047**,0.5618 ± 0.0093,<u>0.5796 ± 0.0031</u>,0.5659 ± 0.0172,0.600354754,0.593233908,0.601411599,0.589960724,0.601286073,0.597249412,0.004743645,5,1,0.5618,0.0093,,4,0.5796,0.0031,,2,0.5659,0.0172,,3
FACED,kappa,**0.5411 ± 0.0054**,0.5041 ± 0.0122,<u>0.5204 ± 0.0036</u>,0.5080 ± 0.0191,0.542422469,0.535085524,0.546416717,0.534530588,0.54710523,0.541112106,0.005392765,5,1,0.5041,0.0122,,4,0.5204,0.0036,,2,0.508,0.0191,,3
HMC,balanced_accuracy,<u>0.7392 ± 0.0034</u>,—,—,**0.7401**,0.737618508,0.739896724,0.73345234,0.74303922,0.741792968,0.739159952,0.003390493,5,2,,,,,,,,,0.7401,,,1
