basis_index,degree_l,order_m,image,surface_min,surface_max,electrode_min,electrode_max,legend_vmin,legend_vmax
0,0,0,shpe_00_l0_m+0_az30_el25.png,0.28209479177387814,0.28209479177387814,0.28209479177387814,0.28209479177387814,-1.0,1.0
1,1,-1,shpe_01_l1_m-1_az30_el25.png,-0.4877808934469057,0.48826296924174434,-0.4596406329149868,0.48467427430355003,-1.0,1.0
2,1,0,shpe_02_l1_m+0_az30_el25.png,-0.4885741813458182,0.48844928914184615,-0.06791773781038629,0.48656839931156937,-1.0,1.0
3,1,1,shpe_03_l1_m+1_az30_el25.png,-0.4884855309249933,0.4880973164714723,-0.47828527911682694,0.47715446646098714,-1.0,1.0
4,2,-2,shpe_04_l2_m-2_az30_el25.png,-0.5455069315856531,0.5462173141605956,-0.5459442924795659,0.5459036340275215,-1.0,1.0
5,2,-1,shpe_05_l2_m-1_az30_el25.png,-0.5461153453043592,0.5459706397299917,-0.541864153081715,0.5461782198884195,-1.0,1.0
6,2,0,shpe_06_l2_m+0_az30_el25.png,-0.3153914761730976,0.6306734099102439,-0.3148419659401305,0.6229214450330777,-1.0,1.0
7,2,1,shpe_07_l2_m+1_az30_el25.png,-0.5453287110449618,0.5458889547962058,-0.5379958442759092,0.5375644585889051,-1.0,1.0
8,2,2,shpe_08_l2_m+2_az30_el25.png,-0.5453949553374643,0.5460016883418031,-0.5375252437843884,0.5071338357817908,-1.0,1.0
9,3,-3,shpe_09_l3_m-3_az30_el25.png,-0.5896074904790726,0.5875427535352393,-0.5759247805514336,0.5055707033312383,-1.0,1.0
10,3,-2,shpe_10_l3_m-2_az30_el25.png,-0.5555763655438452,0.556014344927537,-0.54109608612348,0.532263248180023,-1.0,1.0
11,3,-1,shpe_11_l3_m-1_az30_el25.png,-0.6287132001942598,0.6286088553056063,-0.5486752216585281,0.5011460088007885,-1.0,1.0
12,3,0,shpe_12_l3_m+0_az30_el25.png,-0.7460930301544006,0.7449489057997792,-0.33141004703271215,0.7278065968342058,-1.0,1.0
13,3,1,shpe_13_l3_m+1_az30_el25.png,-0.6277704423320343,0.6292937912817337,-0.49832852554803975,0.49489177251873406,-1.0,1.0
14,3,2,shpe_14_l3_m+2_az30_el25.png,-0.5562694305057121,0.5556050095946323,-0.5061909809055714,0.49959546698274915,-1.0,1.0
15,3,3,shpe_15_l3_m+3_az30_el25.png,-0.5896816602606462,0.5885892712997851,-0.5017026835349605,0.49661585274705056,-1.0,1.0
16,4,-4,shpe_16_l4_m-4_az30_el25.png,-0.6249274266285845,0.625757466582899,-0.6036033341529535,0.6030993657098156,-1.0,1.0
17,4,-3,shpe_17_l4_m-3_az30_el25.png,-0.5746034896750976,0.5745303728470293,-0.43432423253118935,0.4798505668843686,-1.0,1.0
18,4,-2,shpe_18_l4_m-2_az30_el25.png,-0.6072950147303308,0.6082217994570513,-0.5499181428309459,0.5278205955948531,-1.0,1.0
19,4,-1,shpe_19_l4_m-1_az30_el25.png,-0.7027316201636927,0.7061741978625738,-0.4378187705969084,0.4714697646370222,-1.0,1.0
20,4,0,shpe_20_l4_m+0_az30_el25.png,-0.3626933013554697,0.8457937396930263,-0.3573766040391676,0.8113814621224316,-1.0,1.0
21,4,1,shpe_21_l4_m+1_az30_el25.png,-0.7060713010662958,0.7062939480910365,-0.531786285734368,0.5398100530494905,-1.0,1.0
22,4,2,shpe_22_l4_m+2_az30_el25.png,-0.6081537601219366,0.6047685823975761,-0.6080044515610777,0.5474177751694229,-1.0,1.0
23,4,3,shpe_23_l4_m+3_az30_el25.png,-0.5728611567195198,0.5743287138110263,-0.5625550810651715,0.5525737534512201,-1.0,1.0
24,4,4,shpe_24_l4_m+4_az30_el25.png,-0.6256904897386635,0.6251611570328661,-0.6250799987247432,0.6059477104132722,-1.0,1.0
